Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
STEPCHANGE HOLDINGS LIMITED,STH,Software & Services,IT Services; Software,,,
STOCKLAND,SGP,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
STONEHORSE ENERGY LIMITED,SHE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
STONEPEAK-PLUS INFRA DEBT LIMITED,SPP,Not Applic,Other/Not Applicable,,,
STRAKER LIMITED,STG,Media & Entertainment,Media; Entertainment,,,
STRATA INVESTMENT HOLDINGS PLC,SRT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
STRATA MINERALS LIMITED.,SMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
STRATEGIC ELEMENTS LIMITED,SOR,Financial Services,Diversified Financials; Capital Markets,,,
STRATEGIC ENERGY RESOURCES LIMITED,SER,Materials,Chemicals; Construction Materials; Metals & Mining,,,
STREAMPLAY STUDIO LIMITED,SP8,Media & Entertainment,Media; Entertainment,,,
STRICKLAND METALS LIMITED,STK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
STRIKE ENERGY LIMITED,STX,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
STRIKE RESOURCES LIMITED,SRK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
STRUCTURAL MONITORING SYSTEMS PLC,SMN,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
SULTAN RESOURCES LTD,SLZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUMMERSET GROUP HOLDINGS LIMITED,SNZ,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
SUN SILVER LIMITED,SS1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUNRISE ENERGY METALS LIMITED,SRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUNSHINE METALS LIMITED,SHN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUNSTONE METALS LTD,STM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUPER RETAIL GROUP LIMITED,SUL,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
SUPERIOR RESOURCES LIMITED,SPQ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SUPERLOOP LIMITED,SLC,Telecommunication Services,Diversified Telecommunication Services,,,
SUPPLY NETWORK LIMITED,SNL,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
SUREFIRE RESOURCES NL,SRN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SWIFT TV LTD,STV,Media & Entertainment,Media; Entertainment,,,
SWOOP HOLDINGS LIMITED,SWP,Telecommunication Services,Diversified Telecommunication Services,,,
SYMAL GROUP LIMITED,SYL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SYNERTEC CORPORATION LIMITED,SOP,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
SYNLAIT MILK LIMITED,SM1,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
SYNTARA LIMITED,SNT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
SYRAH RESOURCES LIMITED,SYR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TABCORP HOLDINGS LIMITED,TAH,Consumer Services,"Hotels, Restaurants & Leisure",,,
TAITON RESOURCES LIMITED,T88,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TALGA GROUP LTD,TLG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TALI DIGITAL LIMITED,TD1,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
TALI RESOURCES LTD,TR2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TALISMAN MINING LIMITED,TLM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TALIUS GROUP LIMITED,TAL,Software & Services,IT Services; Software,,,
TALONX RESOURCES LIMITED,TXR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TAMAWOOD LIMITED,TWD,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
TAMBORAN RESOURCES CORPORATION,TBN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TAMBOURAH METALS LTD,TMB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TANAMI GOLD NL,TAM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TARRINA RESOURCES LIMITED,TR8,Consumer Staples Distribution & Retail,Food & Staples Retailing,,,
TARTANA MINERALS LIMITED,TAT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TARUGA MINERALS LIMITED,TAR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TASFOODS LIMITED,TFL,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
TASMAN RESOURCES LTD,TAS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TASMEA LIMITED,TEA,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
TEAMINVEST PRIVATE GROUP LIMITED,TIP,Financial Services,Diversified Financials; Capital Markets,,,
TECHGEN METALS LTD,TG1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TECHNOLOGY ONE LIMITED,TNE,Software & Services,IT Services; Software,,,
TELIX PHARMACEUTICALS LIMITED,TLX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
TEMAS RESOURCES CORP.,TIO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TEMPEST MINERALS LIMITED,TEM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TEMPLE & WEBSTER GROUP LTD,TPW,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
TENNANT MINERALS LIMITED,TMS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TERRA CRITICAL MINERALS LIMITED,T92,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TERRA METALS LIMITED,TM1,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TERRACOM LIMITED,TER,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TERRAGEN HOLDINGS LIMITED,TGH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TERRAIN MINERALS LIMITED,TMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TERRAMIN AUSTRALIA LIMITED.,TZN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TESORO GOLD LTD,TSO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TEST SECURITY,TES,Class Pend,Other/Not Applicable,,,
TETRATHERIX LIMITED,TTX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
TG METALS LIMITED,TG6,Materials,Chemicals; Construction Materials; Metals & Mining,,,
THE A2 MILK COMPANY LIMITED,A2M,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
THE AGENCY GROUP AUSTRALIA LTD,AU1,Real Estate Management & Development,Real Estate Management & Development,,,
THE AUSTRALIAN WEALTH ADVISORS GROUP LIMITED,WAG,Financial Services,Diversified Financials; Capital Markets,,,
THE CALMER CO INTERNATIONAL LIMITED,CCO,Household & Personal Products,Household Products; Personal Products,,,
THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,HPC,Household & Personal Products,Household Products; Personal Products,,,
THE KOALA COMPANY LIMITED,KOA,Class Pend,Other/Not Applicable,,,
THE LOTTERY CORPORATION LIMITED,TLC,Consumer Services,"Hotels, Restaurants & Leisure",,,
THE STAR ENTERTAINMENT GROUP LIMITED,SGR,Consumer Services,"Hotels, Restaurants & Leisure",,,
THETA GOLD MINES LIMITED,TGM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
THINK TANK RESIDENTIAL SERIES 2024-1 TRUST,TT1,Not Applic,Other/Not Applicable,,,
THINK TANK RESIDENTIAL SERIES 2025-2 TRUST,TT2,Not Applic,Other/Not Applicable,,,
THOR ENERGY PLC,THR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
THORNEY OPPORTUNITIES LTD,TOP,Not Applic,Other/Not Applicable,,,
THORNEY TECHNOLOGIES LTD,TEK,Not Applic,Other/Not Applicable,,,
THRIVE TRIBE TECHNOLOGIES LIMITED,1TT,Software & Services,IT Services; Software,,,
TIAN AN AUSTRALIA LIMITED,TIA,Real Estate Management & Development,Real Estate Management & Development,,,
TIMAH RESOURCES LIMITED,TML,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
TINYBEANS GROUP LTD,TNY,Media & Entertainment,Media; Entertainment,,,
TISSUE REPAIR LTD,TRP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
TITAN MINERALS LIMITED,TTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TITANIUM SANDS LIMITED,TSL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TITOMIC LIMITED,TTT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TIVAN LIMITED,TVN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TLOU ENERGY LIMITED,TOU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TMK ENERGY LIMITED,TMK,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TOLU MINERALS LIMITED.,TOK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TOP END ENERGY LIMITED,TEE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TORO ENERGY LIMITED,TOE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TORQUE METALS LIMITED..,TOR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TORRENS SERIES 2016-1 TRUST,TTZ,Not Applic,Other/Not Applicable,,,
TOUBANI RESOURCES LIMITED,TRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TOUCH VENTURES LIMITED,TVL,Financial Services,Diversified Financials; Capital Markets,,,
TOURISM HOLDINGS RENTALS LIMITED,THL,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
TOWER LIMITED,TWR,Insurance,Insurance,,,
TPC CONSOLIDATED LIMITED,TPC,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
TPG TELECOM LIMITED.,TPG,Telecommunication Services,Diversified Telecommunication Services,,,
TRADE WINDOW HOLDINGS LIMITED,TWL,Class Pend,Other/Not Applicable,,,
TRAJAN GROUP HOLDINGS LIMITED,TRJ,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
TRANSMETRO CORPORATION LIMITED,TCO,Consumer Services,"Hotels, Restaurants & Leisure",,,
TRANSURBAN FINANCE COMPANY PTY LTD,TA1,Not Applic,Other/Not Applicable,,,
TREASURY CORPORATION OF VICTORIA,XVG,Not Applic,Other/Not Applicable,,,
TREASURY WINE ESTATES LIMITED,TWE,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
TREK METALS LIMITED,TKM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TRIANGLE ENERGY (GLOBAL) LIMITED,TEG,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
TRIBECA GLOBAL NATURAL RESOURCES LIMITED,TGF,Not Applic,Other/Not Applicable,,,
TRIBUNE RESOURCES LIMITED,TBR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TRITON BOND TRUST 2021-1 IN RESPECT OF SERIES 1,TT6,Not Applic,Other/Not Applicable,,,
TRITON MINERALS LTD,TON,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TRIVARX LTD,TRI,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
TRUE NORTH COPPER LIMITED,TNC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TRUSCOTT MINING CORPORATION LIMITED,TRM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TRUSCREEN GROUP LIMITED,TRU,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
TUAS LIMITED,TUA,Telecommunication Services,Diversified Telecommunication Services,,,
TUNGSTEN MINING NL,TGN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TURACO GOLD LIMITED,TCG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TURNERS AUTOMOTIVE GROUP LIMITED,TRA,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
TURNSTONE RESOURCES LTD,TSR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TUSKER MINERALS LTD,TSK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TYRANNA RESOURCES LIMITED,TYX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
TYRO PAYMENTS LIMITED,TYR,Financial Services,Diversified Financials; Capital Markets,,,
TZ LIMITED,TZL,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
UNDERWOOD CAPITAL LIMITED,UWC,Not Applic,Other/Not Applicable,,,
UNICO SILVER LIMITED,USL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
UNION STAR METALS LTD,USM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
UNITED OVERSEAS AUSTRALIA LIMITED,UOS,Real Estate Management & Development,Real Estate Management & Development,,,
UNITH LTD,UNT,Media & Entertainment,Media; Entertainment,,,
UNITY METALS LIMITED,UM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
UNIVERSAL BIOSENSORS INC.,UBI,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
UNIVERSAL STORE HOLDINGS LIMITED,UNI,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
URBANISE.COM LIMITED,UBN,Software & Services,IT Services; Software,,,
US MASTERS RESIDENTIAL PROPERTY FUND,URF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
US1 CRITICAL MINERALS LIMITED,USC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
USCOM LIMITED,UCM,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
VALIANT GOLD LIMITED,VAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VANADIUM RESOURCES LIMITED,VR8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VARISCAN MINES LIMITED,VAR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VAULT MINERALS LIMITED,VAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VBX LIMITED,VBX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VECTION TECHNOLOGIES LTD,VR1,Software & Services,IT Services; Software,,,
VECTUS BIOSYSTEMS LIMITED,VBS,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
VEEM LTD,VEE,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
VENARI MINERALS NL,VMS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VENTIA SERVICES GROUP LIMITED,VNT,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
VENUS METALS CORPORATION LIMITED,VMC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VERBREC LIMITED,VBC,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
VERIS LIMITED,VRS,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
VERITY RESOURCES LIMITED,VRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VERTEX MINERALS LIMITED,VTX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VHM LIMITED,VHM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VICINITY CENTRES,VCX,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
VICINITY CENTRES TRUST,VCD,Not Applic,Other/Not Applicable,,,
VICTOR GROUP HOLDINGS LIMITED,VIG,Software & Services,IT Services; Software,,,
VICTORY METALS LIMITED,VTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VIKING MINES LIMITED,VKA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VINTAGE ENERGY LTD,VEN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
VINYL GROUP LTD,VNL,Software & Services,IT Services; Software,,,
VIRGIN AUSTRALIA HOLDINGS LIMITED.,VGN,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
VIRIDIS MINING AND MINERALS LIMITED,VMM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VISIONFLEX GROUP LIMITED,VFX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
VISTA GROUP INTERNATIONAL LIMITED.,VGL,Software & Services,IT Services; Software,,,
VITA LIFE SCIENCES LIMITED..,VLS,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
VITA RESOURCES NL,VTA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VITAL METALS LIMITED,VML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VITASORA HEALTH LIMITED,VHL,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
VITRAFY LIFE SCIENCES LIMITED,VFY,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
VITURA HEALTH LIMITED,VIT,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
VIVA ENERGY GROUP LIMITED,VEA,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
VIVA LEISURE LIMITED,VVA,Consumer Services,"Hotels, Restaurants & Leisure",,,
VMOTO LIMITED,VMT,Automobiles & Components,Auto Components; Automobiles,,,
VODAFONE GROUP PLC.,VPG,Not Applic,Other/Not Applicable,,,
VOLT GROUP LIMITED,VPR,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
VOLT RESOURCES LIMITED,VRC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VOLTAIC STRATEGIC RESOURCES LTD,VSR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
VRX SILICA LIMITED,VRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VULCAN ENERGY RESOURCES LIMITED,VUL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VULCAN STEEL LIMITED,VSL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
VYSARN LIMITED,VYS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WA KAOLIN LIMITED,WAK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WA1 RESOURCES LTD,WA1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WAGNERS HOLDING COMPANY LIMITED,WGN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WAM ACTIVE LIMITED,WAA,Not Applic,Other/Not Applicable,,,
WAM ALTERNATIVE ASSETS LIMITED,WMA,Not Applic,Other/Not Applicable,,,
WAM CAPITAL LIMITED,WAM,Not Applic,Other/Not Applicable,,,
WAM GLOBAL LIMITED,WGB,Not Applic,Other/Not Applicable,,,
WAM INCOME MAXIMISER LIMITED,WMX,Not Applic,Other/Not Applicable,,,
WAM LEADERS LIMITED,WLE,Not Applic,Other/Not Applicable,,,
WAM MICROCAP LIMITED,WMI,Not Applic,Other/Not Applicable,,,
WAM RESEARCH LIMITED,WAX,Not Applic,Other/Not Applicable,,,
WAM STRATEGIC VALUE LIMITED,WAR,Not Applic,Other/Not Applicable,,,
WARATAH MINERALS LIMITED,WTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,SOL,Financial Services,Diversified Financials; Capital Markets,,,
WATERCO LIMITED,WAT,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
WAY 2 VAT LTD.,W2V,Software & Services,IT Services; Software,,,
WAYPOINT REIT,WPR,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
WCM GLOBAL GROWTH LIMITED,WQG,Not Applic,Other/Not Applicable,,,
WEA FINANCE LLC AND WESTFIELD UK & EUROPE FINANCE PLC,WEF,Not Applic,Other/Not Applicable,,,
WEB TRAVEL GROUP LIMITED,WEB,Consumer Services,"Hotels, Restaurants & Leisure",,,
WEBJET GROUP LIMITED,WJL,Consumer Services,"Hotels, Restaurants & Leisure",,,
WEEBIT NANO LTD,WBT,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,
WELLNEX LIFE LIMITED,WNX,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
WEST AFRICAN RESOURCES LIMITED,WAF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WEST COAST SILVER LIMITED,WCE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WEST COBAR METALS LIMITED,WC1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WEST WITS MINING LIMITED,WWI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTAR RESOURCES LIMITED,WSR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTERN GOLD RESOURCES LIMITED.,WGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTERN MINES GROUP LTD,WMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTERN RIDGE RESOURCES LIMITED,WRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTERN YILGARN NL,WYX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTFIELD UK & EUROPE FINANCE PLC,WEN,Not Applic,Other/Not Applicable,,,
